laptop_id,name,price,original_price,discount_pct,status,delivery_location,seller,seller_shipping_speed,seller_quality-score,customer_rating,seller_score,seller's_followers,brand,model,ram,storage,storage_unit,processor,os,display,rating_score,value_for_money,price_diff,price_range
304572281,"Blueing 15.6"" Laptop J4125 8GB+256GB SSD Student Portable Computer",22760.0,27131.0,16%,,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,T H-COD,Excellent,Very Poor,Average,56%,18.0,Blueing,"15.6""",8GB,8.0,GB,J4125,,14.0,3.0,7586.666666666667,4371.0,Mid
304776120,"Blueing 14"" Laptop N3350 6GB+192GB SSD Portable Computer Student Pc",20971.0,23817.0,12%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,T H-COD,Excellent,Very Poor,Average,56%,18.0,Blueing,"14""",6GB,6.0,GB,N3350,,14.0,3.0,6990.333333333333,2846.0,Mid
313131673,"HP  EliteBook 830 G5/6 – Core i5 7th Gen, 8GB RAM, 256GB SSD, 13.3” FHD Display, Windows 10 /windows 11",24499.0,45000.0,46%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Zetcomcomputers,Excellent,Average,Average,78%,224.0,HP,EliteBook,8GB,8.0,GB,i5,Windows 10,14.0,3.0,8166.333333333333,20501.0,Mid
326032950,"Microsoft REFURBISHED Surface Go 1824 Commercial, 10"" Pixelsense Touch Display, Intel Pentium 4415Y, 8GB RAM+  128GB SSD, Windows 11",18000.0,23499.0,23%,1 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Jumia,,,Unknown,100%,,Microsoft,REFURBISHED,8GB,8.0,GB,,Windows 11,14.0,1.0,18000.0,5499.0,Low
189512072,"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished",22500.0,30000.0,25%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Wynn Enterprise,Good,Average,Average,76%,200.0,Apple,MacBook,8GB,8.0,GB,,Mac,14.0,3.0,7500.0,7500.0,Mid
7361962,"HP  Refurbished EliteBook/Probook Laptops Intel Core I5, 8GB RAM, 500GB HDD, 14'' Inch Screen Display Laptop  Windows 11 PRO Activated, Office & Basic software Installed, Free Bag + Free wireless mouse + Charger + Mouse Pad + Extension.",26000.0,25000.0,28%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Westside Computer Hub,Good,Excellent,Average,86%,208.0,HP,Refurbished,8GB,8.0,GB,,Windows 11,14.0,3.0,8666.666666666666,-1000.0,Mid
89309477,"HP EliteBook 820 G1 Core I5 8GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished,  (6 Months WRTY)",16999.0,36798.0,54%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Digitech Computers,Good,Poor,Average,66%,151.0,HP,EliteBook,8GB,8.0,GB,,,14.0,3.0,5666.333333333333,19799.0,Low
247886969,"HP EliteBook 840 G1/G2 Refurbished Intel Core I5 -8GB Ram -256GB SSD-Black-14""",16999.0,30000.0,43%,9 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Charlie Chan,Excellent,Good,Average,86%,361.0,HP,EliteBook,8GB,8.0,GB,,,14.0,3.0,5666.333333333333,13001.0,Low
172363965,"Lenovo ThinkPad X260 Intel Core I5, 8GB RAM, 256GB SSD, 12.5'' REFURBISHED",15489.0,28000.0,45%,9 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Charlie Chan,Excellent,Good,Average,86%,361.0,Lenovo,ThinkPad,8GB,8.0,GB,,,14.0,3.0,5163.0,12511.0,Low
169297990,HP Elitebook 840 G3 Intel Core i7 6th Gen 16GB RAM 512GB SSD 14 Inches- refurbished,29399.0,47599.0,38%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Ubuntu Technologies Kenya,Good,Excellent,Average,84%,88.0,HP,Elitebook,16GB,16.0,GB,i7,,14.0,3.0,9799.666666666666,18200.0,Mid
172416195,"HP  Refurbished EliteBook 820 G2 Core I5-5300U 2.3GHz, 8GB RAM 500GB HDD 12.5"" Windows 10 Pro",15980.0,32000.0,50%,8 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Charlie Chan,Excellent,Good,Average,86%,361.0,HP,Refurbished,8GB,8.0,GB,,Windows 10,14.0,3.0,5326.666666666667,16020.0,Low
69832784,,20999.0,46999.0,55%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Dansie Enterprise,Good,Good,Average,82%,1160.0,,,8GB,8.0,,,,14.0,3.0,6999.666666666667,26000.0,Mid
319359853,"HP REFURBLISHED EliteBook 840 G5 8th Gen Core I5- 8GB Ram- 256GB SSD - Windows 11-14""-Silver (6 Months WRTY)",27500.0,35000.0,21%,8 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Digital Link Computers,Good,Excellent,Good,88%,3.0,HP,REFURBLISHED,8GB,8.0,GB,,Windows 11,14.0,4.0,6875.0,7500.0,Mid
10015455,,26000.0,19000.0,13%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Westside Computer Hub,Good,Excellent,Average,86%,208.0,,,8GB,8.0,,,,14.0,3.0,8666.666666666666,-7000.0,Mid
1702393,"HP Refurbished EliteBook 820, Intel Core I5, Slim Model ,8GB RAM , 256GB SSD, Black- 12.5",17199.0,30000.0,43%,6 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Charlie Chan,Excellent,Good,Average,86%,361.0,HP,Refurbished,8GB,8.0,GB,,,14.0,3.0,5733.0,12801.0,Low
313589334,"Refurbished ProBook X360 11 g4 Intel core i5 8GB 256GB SSD 2-in-1 11.6"" Touchscreen Ultraslim",18700.0,36000.0,48%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Zetcomcomputers,Excellent,Average,Average,78%,224.0,Refurbished,ProBook,8GB,8.0,GB,i5,,14.0,3.0,6233.333333333333,17300.0,Low
188072214,"Lenovo 8GB RAM 256GB SSD ThinkPad Yoga 11e Refurbished Laptop X360 Touchscreen Webcam Bluetooth, HDMI WIFI With Windows 11 PRO Activated, Office 2021 Pro, Basic software Installed, Free Bag + Free wireless mouse + Charger + Mouse Pad + Free Extension.",18999.0,28000.0,32%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Westside Computer Hub,Good,Excellent,Average,86%,208.0,Lenovo,8GB,8GB,8.0,GB,,Windows 11,14.0,3.0,6333.0,9001.0,Low
171306325,"HP Elitebook 840 G4, Intel Core I7 7Th Gen,16GB RAM, 512GB SSD - Refurbished (6M WRTY)",29999.0,54000.0,44%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,PRODUCTS ZONE,Good,Poor,Average,68%,123.0,HP,Elitebook,16GB,16.0,GB,,,14.0,3.0,9999.666666666666,24001.0,Mid
326150388,"ThinkPad T450/S, Core i5 HDD 500GB RAM  8gb 14 inches Refurbished - Black",17899.0,21499.0,17%,8 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Dansie Enterprise,Good,Good,Average,82%,1160.0,ThinkPad,"T450/S,",500GB,500.0,GB,i5,,14.0,3.0,5966.333333333333,3600.0,Low
270294120,"Lenovo ThinkPad X260 Intel Core I5, 8GB RAM, 256GB SSD, 12.5'' RENEWED 6 Months Warranty.",15488.0,40000.0,61%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Charlie Chan,Excellent,Good,Average,86%,361.0,Lenovo,ThinkPad,8GB,8.0,GB,,,14.0,3.0,5162.666666666667,24512.0,Low
