laptop_id,name,price,price_before_discount,discount_pct,status,delivery_to_nairobi,seller,seller_shipping_speed,seller_quality-score,seller_customer_rating,seller_score,seller's_followers,scraped_at
304572281,"Blueing 15.6"" Laptop J4125 8GB+256GB SSD Student Portable Computer","KSh 22,760","KSh 27,131",16%,,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,T H-COD,Excellent,Very Poor,Average,56%,18,2026-01-26 17:24:08
304776120,"Blueing 14"" Laptop N3350 6GB+192GB SSD Portable Computer Student Pc","KSh 20,971","KSh 23,817",12%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,T H-COD,Excellent,Very Poor,Average,56%,18,2026-01-26 17:24:08
313131673,"HP  EliteBook 830 G5/6 – Core i5 7th Gen, 8GB RAM, 256GB SSD, 13.3” FHD Display, Windows 10 /windows 11","KSh 24,499","KSh 45,000",46%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Zetcomcomputers,Excellent,Average,Average,78%,224,2026-01-26 17:24:09
326032950,"Microsoft REFURBISHED Surface Go 1824 Commercial, 10"" Pixelsense Touch Display, Intel Pentium 4415Y, 8GB RAM+  128GB SSD, Windows 11","KSh 18,000","KSh 23,499",23%,1 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Jumia,,,,100%,,2026-01-26 17:26:11
189512072,"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 22,500","KSh 30,000",25%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Wynn Enterprise,Good,Average,Average,76%,200,2026-01-26 17:26:11
7361962,"HP  Refurbished EliteBook/Probook Laptops Intel Core I5, 8GB RAM, 500GB HDD, 14'' Inch Screen Display Laptop  Windows 11 PRO Activated, Office & Basic software Installed, Free Bag + Free wireless mouse + Charger + Mouse Pad + Extension.",,"KSh 25,000",28%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Westside Computer Hub,Good,Excellent,Average,86%,208,2026-01-26 17:26:13
89309477,"HP EliteBook 820 G1 Core I5 8GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished,  (6 Months WRTY)","KSh 16,999","KSh 36,798",54%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Digitech Computers,Good,Poor,Average,66%,151,2026-01-26 17:26:15
247886969,"HP EliteBook 840 G1/G2 Refurbished Intel Core I5 -8GB Ram -256GB SSD-Black-14""","KSh 16,999","KSh 30,000",43%,9 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Charlie Chan,Excellent,Good,Average,86%,361,2026-01-26 17:26:16
172363965,"Lenovo ThinkPad X260 Intel Core I5, 8GB RAM, 256GB SSD, 12.5'' REFURBISHED","KSh 15,489","KSh 28,000",45%,9 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Charlie Chan,Excellent,Good,Average,86%,361,2026-01-26 17:26:17
169297990,HP Elitebook 840 G3 Intel Core i7 6th Gen 16GB RAM 512GB SSD 14 Inches- refurbished,"KSh 29,399","KSh 47,599",38%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Ubuntu Technologies Kenya,Good,Excellent,Average,84%,88,2026-01-26 17:26:18
