product_id,seller,processor,gen,ram,storage_size,storage_type,screen_size,refurbished_status,brand,model_family,laptop_model,price,price_before_discount,discount_pct,scraped_at
304572281,T H-Cod,J4125,,8.0,256.0,Ssd,15.6,,Blueing,,,22760.0,27131.0,16.0,2026-01-26 17:24:08
304776120,T H-Cod,N3350,,6.0,192.0,Ssd,14.0,,Blueing,,,20971.0,23817.0,12.0,2026-01-26 17:24:08
313131673,Zetcomcomputers,Core I5,7.0,8.0,256.0,Ssd,,,Hp,Elitebook,830,24499.0,45000.0,46.0,2026-01-26 17:24:09
326032950,Jumia,Pentium 4415Y,,8.0,128.0,Ssd,10.0,Refurbished,Microsoft,Surface,Go,18000.0,23499.0,23.0,2026-01-26 17:26:11
189512072,Wynn Enterprise,Core I5,,8.0,500.0,Hdd,13.0,Refurbished,Apple,Macbook,Pro,22500.0,30000.0,25.0,2026-01-26 17:26:11
7361962,Westside Computer Hub,Core I5,,8.0,500.0,Hdd,14.0,Refurbished,Hp,Elitebook,Laptops,18000.0,25000.0,28.0,2026-01-26 17:26:13
89309477,Digitech Computers,Core I5,,8.0,500.0,Hdd,,Refurbished,Hp,Elitebook,820,16999.0,36798.0,54.0,2026-01-26 17:26:15
247886969,Charlie Chan,Core I5,,8.0,256.0,Ssd,14.0,Refurbished,Hp,Elitebook,840,16999.0,30000.0,43.0,2026-01-26 17:26:16
172363965,Charlie Chan,Core I5,,8.0,256.0,Ssd,12.5,Refurbished,Lenovo,Thinkpad,X260,15489.0,28000.0,45.0,2026-01-26 17:26:17
169297990,Ubuntu Technologies Kenya,Core I7,6.0,16.0,512.0,Ssd,14.0,Refurbished,Hp,Elitebook,840,29399.0,47599.0,38.0,2026-01-26 17:26:18
172416195,Charlie Chan,Core I5-5300U,,8.0,500.0,Hdd,12.5,Refurbished,Hp,Elitebook,820,15980.0,32000.0,50.0,2026-01-26 17:26:19
319359853,Digital Link Computers,Core I5,8.0,8.0,256.0,Ssd,14.0,,Hp,Elitebook,840,27500.0,35000.0,21.0,2026-01-26 17:26:21
1702393,Charlie Chan,Core I5,,8.0,256.0,Ssd,,Refurbished,Hp,Elitebook,820,17199.0,30000.0,43.0,2026-01-26 17:26:24
313589334,Zetcomcomputers,Core I5,,8.0,256.0,Ssd,11.6,Refurbished,,Probook,X360,18700.0,36000.0,48.0,2026-01-26 17:26:24
188072214,Westside Computer Hub,,,8.0,256.0,Ssd,,Refurbished,Lenovo,Thinkpad,Yoga,18999.0,28000.0,32.0,2026-01-26 17:26:25
171306325,Products Zone,Core I7,7.0,16.0,512.0,Ssd,,Refurbished,Hp,Elitebook,840,29999.0,54000.0,44.0,2026-01-26 17:26:26
326150388,Dansie Enterprise,Core I5,,8.0,,,14.0,Refurbished,,Thinkpad,T450,17899.0,21499.0,17.0,2026-01-26 17:26:27
270294120,Charlie Chan,Core I5,,8.0,256.0,Ssd,12.5,Renewed,Lenovo,Thinkpad,X260,15488.0,40000.0,61.0,2026-01-26 17:26:28
148123492,Digitech Computers,Core I5,,8.0,500.0,Hdd,,Refurbished,Hp,Elitebook,820,16950.0,30000.0,44.0,2026-01-26 17:26:29
1556262,Charliehub254,Core I5,6.0,8.0,256.0,Ssd,12.5,Refurbished,Hp,Elitebook,820,18990.0,35000.0,46.0,2026-01-26 17:26:31
177804379,Charlie Chan,Core I5,,8.0,500.0,Hdd,13.0,Refurbished,Apple,Macbook,Pro,18699.0,34000.0,45.0,2026-01-26 17:26:32
