seller,seller_shipping_speed,seller_quality_score,seller_customer_rating,seller_score,seller_followers
T H-Cod,Excellent,Very Poor,Average,56.0,18.0
Zetcomcomputers,Excellent,Average,Average,78.0,224.0
Jumia,,,,100.0,
Wynn Enterprise,Good,Average,Average,76.0,200.0
Westside Computer Hub,Good,Excellent,Average,86.0,208.0
Digitech Computers,Good,Poor,Average,66.0,151.0
Charlie Chan,Excellent,Good,Average,86.0,361.0
Ubuntu Technologies Kenya,Good,Excellent,Average,84.0,88.0
Digital Link Computers,Good,Excellent,Good,88.0,3.0
Products Zone,Good,Poor,Average,68.0,123.0
Dansie Enterprise,Good,Good,Average,82.0,1160.0
Charliehub254,Excellent,Excellent,Average,92.0,107.0
Jultech Technologies,Good,Excellent,Good,90.0,12.0
Hameda Technologies,Good,Very Poor,Good,60.0,164.0
Hameda Technologies Shop,Good,Excellent,Good,90.0,76.0
Digitalsmart  Print,Good,Excellent,Average,84.0,17.0
Computer Spot Kenya,Excellent,Excellent,Average,86.0,32.0
Neileys  Technologies,Good,Very Poor,Poor,44.0,56.0
Mictouch Technology Limited,Excellent,Poor,Good,74.0,553.0
Maxports Merchants Limited,Excellent,Very Poor,,50.0,16.0
Megacomps Ict Hub,Poor,Very Poor,Excellent,46.0,237.0
Mobi Stores,Excellent,Average,Good,80.0,41.0
Lawre Digital Solutions,Good,Excellent,Poor,82.0,6.0
Laptop Hub Limited,,,,,
Tech Shopit,Excellent,Excellent,Excellent,98.0,16.0
Disktech Systems,Excellent,Excellent,Average,90.0,26.0
Jultech General Supplies,Good,Excellent,,94.0,14.0
Global Tech Kenya,Good,Excellent,Good,86.0,8.0
Techovant Solutions Limited,Good,Very Poor,Good,68.0,1583.0
Novetech Supplies,Good,Good,Good,86.0,91.0
Symtech Enterprises,Average,Excellent,Good,80.0,117.0
Betty Tech Computers,Good,Very Poor,Average,50.0,174.0
Vertex Innovation Hub,Good,Very Poor,Poor,42.0,1.0
Wain Collection,Excellent,Very Poor,Good,60.0,81.0
Neiley Technologgies,Average,Excellent,Good,80.0,2.0
Wasini Technologies,Good,Excellent,Good,86.0,79.0
Badar Computers,Poor,Excellent,Excellent,80.0,9.0
Cray Computer Technologies,Good,Excellent,Very Poor,66.0,11.0
Kentouch Kenya,Excellent,Excellent,Excellent,98.0,286.0
Laptop Clinic,Average,Very Poor,Good,52.0,170.0
Laptops World Ltd,Excellent,Very Poor,Average,60.0,7.0
Twendy,Good,Excellent,Good,88.0,10.0
Disktech,Average,Very Poor,Excellent,52.0,37.0
Suitech,Excellent,Excellent,Good,94.0,5.0
Slimtech System,Very Poor,,Excellent,50.0,10.0
Smartcomputers,Poor,Excellent,Good,74.0,20.0
Erick Enterprise,Good,Very Poor,Average,48.0,130.0
Lantel  System,Good,Very Poor,Good,58.0,52.0
Tolmo Technology,Excellent,Excellent,Excellent,98.0,4.0
Technestke,Good,Excellent,Excellent,94.0,1.0
Hamnduenterprise,Average,Excellent,Good,82.0,10.0
Unicom Computers,,,,,
Nova Africa Entreprise,Good,Poor,Good,68.0,32.0
Geeworld Technologies,Good,Excellent,Poor,78.0,3.0
The Mobile Mall Ke,Poor,Excellent,Excellent,80.0,1.0
Tech Dg,Good,Very Poor,Average,52.0,25.0
Washington Investment Computers,Average,Excellent,,86.0,94.0
Laptoppalace,Excellent,,,98.0,3.0
Madtitan Technologies,Good,Very Poor,Average,48.0,8.0
Tech Laptops,Excellent,Excellent,Excellent,98.0,17.0
Mo Electronics.,Excellent,Excellent,Poor,84.0,4.0
Trudy Comps,Good,Excellent,,90.0,4.0
Phonelegit Kenya,Good,Excellent,Good,92.0,12.0
Reydigital1,Good,Excellent,Average,84.0,1.0
Fourkcomputers,Very Poor,Excellent,,62.0,4.0
Lola Tech,Good,Excellent,Average,84.0,4.0
Anova Technologies,Good,Very Poor,Poor,46.0,113.0
Delta System,Good,Excellent,Average,82.0,16.0
Techbiz,Good,Excellent,Poor,76.0,149.0
Wistan Technologies,,,,,
Avelora Innovations Ltd,Good,Very Poor,Good,56.0,27.0
Ricktech Computers,Good,Excellent,Excellent,98.0,23.0
Sharom Gtx,Average,Excellent,Very Poor,60.0,177.0
Buy Legit Enterprises,Good,Excellent,Excellent,94.0,2.0
The Maxmart,Excellent,Excellent,,98.0,2.0
Dreamcom Technology,Poor,Excellent,Good,74.0,2.0
Bosy Technologies,Good,Excellent,Excellent,96.0,25.0
It Brands Shop Ke,Excellent,Poor,Excellent,76.0,41.0
Gaab Solutions Limited,,,,,15.0
Kiekiecomputers254,,,,,2.0
Big&Small T-Accessories,,,,,
Savecom Computers & It Solutions,,,,,
Golf Tech Computers,Average,Excellent,Average,78.0,3.0
Techzone By Jay,Good,Excellent,Excellent,96.0,2.0
Geforce,Average,Excellent,Excellent,86.0,16.0
Alma Tech Savvy Solution Limited,,,,,3.0
Alloys Hub,Average,Excellent,Very Poor,58.0,32.0
Simple Tech,,,,,8.0
Zlit Stores,,,,,1.0
Linus Tech Ventures,,,,,2.0
Snide Enterprises,Good,Very Poor,Average,46.0,7.0
Theroberts Ke Enterprise,Average,Excellent,,84.0,10.0
Pikhub,Excellent,Very Poor,Excellent,66.0,3.0
Good And Reliable,Excellent,Excellent,Good,92.0,115.0
Edutech Computer Wolrd Ltd,,,,,2.0
Arizona Villa Computers,Very Poor,Excellent,,64.0,47.0
Hillmarc,Excellent,Excellent,Excellent,100.0,5.0
Bundo Tech,Good,Excellent,Good,90.0,48.0
Product Center,Excellent,Very Poor,Excellent,64.0,30.0
Gloresian Limited,Excellent,Excellent,Excellent,100.0,3.0
Five Star Seller,Good,Excellent,Good,88.0,9.0
Waisy,,,,,6.0
